gameId,gameDate,season,teamId,opponentTeamId,teamCity,teamName,opponentTeamCity,opponentTeamName,home,win,teamScore,opponentScore,point_diff,assists,reboundsTotal,steals,blocks,turnovers,fieldGoalsPercentage,threePointersPercentage,pointsInThePaint,pointsFastBreak,benchPoints,days_rest,is_back_to_back,month,season_part,streak,win_pct_roll10,h2h_win_pct,teamScore_roll10,assists_roll10,reboundsTotal_roll10,steals_roll10,blocks_roll10,turnovers_roll10,fieldGoalsPercentage_roll10,threePointersPercentage_roll10,pointsInThePaint_roll10,pointsFastBreak_roll10,benchPoints_roll10,efg_pct_roll10,ts_pct_roll10,tov_rate_roll10,pace_roll10,opp_score_roll10,opp_assists_roll10,opp_rebounds_roll10,opp_fg_pct_roll10,opp_win_pct_roll10
12500043,2025-10-09 22:30:00,2026,15018,1610612746,Guangzhou,Loong-Lions,LA,Clippers,0,0,95,142,-47,19.0,25.0,7.0,1.0,21.0,0.378,0.405,14.0,7.0,36.0,3.0,0,10,early,-2,0.0,0.5,88.0,19.0,30.0,12.0,2.0,20.0,0.377,0.324,20.0,5.0,34.0,0.44805194805194803,0.5025125628140703,0.2050020500205002,97.56,111.7,26.2,39.8,0.5010999999999999,0.6
12500055,2025-10-13 20:00:00,2026,15018,1610612750,Guangzhou,Loong-Lions,Minnesota,Timberwolves,0,0,74,134,-60,11.0,25.0,10.0,5.0,18.0,0.333,0.161,34.0,9.0,36.0,3.0,0,10,early,-3,0.0,0.5,91.5,19.0,27.5,9.5,1.5,20.5,0.3775,0.36450000000000005,17.0,6.0,35.0,0.4638908388908389,0.5236186667281361,0.20524075103764736,99.88,114.7,25.0,42.7,0.4747,0.4
10900043,2009-10-11 18:00:00,2010,1610612737,1610612765,Atlanta,Hawks,Detroit,Pistons,0,0,91,100,-9,20.0,48.0,11.0,6.0,18.0,0.395,0.083,0.0,0.0,0.0,3.0,0,10,early,-1,1.0,0.5,108.0,22.0,45.0,12.0,5.0,17.0,0.487,0.273,0.0,0.0,0.0,0.5064102564102564,0.5648535564853557,0.1673228346456693,101.6,100.0,16.5,43.0,0.5175000000000001,1.0
10900045,2009-10-12 19:00:00,2010,1610612737,1610612766,Atlanta,Hawks,Charlotte,Bobcats,1,1,107,90,17,20.0,39.0,11.0,5.0,13.0,0.467,0.462,0.0,0.0,0.0,1.0,1,10,early,1,0.5,0.5,99.5,21.0,46.5,11.5,5.5,17.5,0.441,0.17800000000000002,0.0,0.0,0.0,0.4537865235539654,0.513814084996136,0.17519925296156533,99.96,97.0,16.666666666666668,37.333333333333336,0.451,0.3333333333333333
10900056,2009-10-14 20:00:00,2010,1610612737,1610612763,Atlanta,Hawks,Memphis,Grizzlies,0,1,111,96,15,21.0,31.0,12.0,4.0,14.0,0.52,0.429,0.0,0.0,0.0,2.0,0,10,early,2,0.6666666666666666,0.5,102.0,20.666666666666668,44.0,11.333333333333334,5.333333333333333,16.0,0.44966666666666666,0.27266666666666667,0.0,0.0,0.0,0.47141323792486584,0.5342165553743229,0.1623943392358808,98.32,95.25,21.5,42.75,0.44725,0.25
10900085,2009-10-19 19:00:00,2010,1610612737,1610612764,Atlanta,Hawks,Washington,Wizards,1,1,113,95,18,29.0,41.0,10.0,2.0,15.0,0.558,0.571,0.0,0.0,0.0,4.0,0,10,early,3,0.75,0.5,104.25,20.75,40.75,11.5,5.0,15.5,0.46725,0.31175,0.0,0.0,0.0,0.4935599284436494,0.5541469298050784,0.15810280836881932,97.84,103.8,22.4,40.8,0.47780000000000006,0.6
10900102,2009-10-22 19:00:00,2010,1610612737,1610612748,Atlanta,Hawks,Miami,Heat,0,1,92,87,5,17.0,40.0,9.0,5.0,20.0,0.571,0.4,0.0,0.0,0.0,3.0,0,10,early,4,0.8,0.5,106.0,22.4,40.8,11.2,4.4,15.4,0.4854,0.36360000000000003,0.0,0.0,0.0,0.5169258648328416,0.5723719065667672,0.15889365551095866,96.78399999999999,91.5,15.333333333333334,36.833333333333336,0.4331666666666667,0.3333333333333333
10900118,2009-10-23 20:00:00,2010,1610612737,1610612753,Atlanta,Hawks,Orlando,Magic,0,0,86,123,-37,13.0,32.0,6.0,3.0,14.0,0.375,0.231,0.0,0.0,0.0,1.0,1,10,early,-1,0.8333333333333334,0.5,103.66666666666667,21.5,40.666666666666664,10.833333333333334,4.5,16.166666666666668,0.4996666666666667,0.36966666666666664,0.0,0.0,0.0,0.5313006545564685,0.5787645158723768,0.16931719594912334,95.70666666666666,107.71428571428571,20.428571428571427,43.857142857142854,0.4762857142857143,1.0
20900005,2009-10-28 19:00:00,2010,1610612737,1610612754,Atlanta,Hawks,Indiana,Pacers,1,1,120,109,11,30.0,35.0,16.0,6.0,11.0,0.529,0.583,0.0,0.0,0.0,4.0,0,10,early,1,0.7142857142857143,0.5,101.14285714285714,20.285714285714285,39.42857142857143,10.142857142857142,4.285714285714286,15.857142857142858,0.4818571428571429,0.3498571428571429,0.0,0.0,0.0,0.5116505610484016,0.5629412623765842,0.16598843269207295,95.73142857142857,107.0,23.428571428571427,44.42857142857143,0.44371428571428567,0.42857142857142855
20900021,2009-10-30 19:30:00,2010,1610612737,1610612764,Atlanta,Hawks,Washington,Wizards,1,1,100,89,11,18.0,47.0,5.0,7.0,13.0,0.41,0.25,0.0,0.0,0.0,2.0,0,10,early,2,0.75,0.3333333333333333,103.5,21.5,38.875,10.875,4.5,15.25,0.48775,0.379,0.0,0.0,0.0,0.5188149305725238,0.5677540376188055,0.15862057148216951,96.61,97.33333333333333,20.555555555555557,41.22222222222222,0.4562222222222222,0.5555555555555556
20900045,2009-11-01 21:30:00,2010,1610612737,1610612747,Atlanta,Hawks,Los Angeles,Lakers,0,0,110,118,-8,21.0,40.0,8.0,3.0,20.0,0.449,0.304,0.0,0.0,0.0,2.0,0,11,early,-1,0.7777777777777778,0.5,103.11111111111111,21.11111111111111,39.77777777777778,10.222222222222221,4.777777777777778,15.0,0.47911111111111115,0.3646666666666667,0.0,0.0,0.0,0.5103141263208758,0.5644331166288405,0.1562071465688179,96.42666666666668,101.5,23.1,42.5,0.44400000000000006,0.7
20900059,2009-11-03 22:00:00,2010,1610612737,1610612757,Atlanta,Hawks,Portland,Trail Blazers,0,1,97,91,6,21.0,46.0,4.0,7.0,12.0,0.463,0.333,0.0,0.0,0.0,2.0,0,11,early,1,0.7,0.5,103.8,21.1,39.8,10.0,4.6,15.5,0.4761,0.3586,0.0,0.0,0.0,0.5081591181831703,0.5627488651013608,0.15937636051020745,97.428,97.3,19.2,43.9,0.42560000000000003,0.4
20900068,2009-11-04 22:00:00,2010,1610612737,1610612758,Atlanta,Hawks,Sacramento,Kings,0,1,113,105,8,17.0,47.0,2.0,10.0,17.0,0.541,0.375,0.0,0.0,0.0,1.0,1,11,early,2,0.7,0.5,102.7,21.0,39.9,9.2,4.8,15.0,0.4737,0.3646,0.0,0.0,0.0,0.5068930925421447,0.5603446869728966,0.15587742508269392,96.336,99.7,19.7,42.4,0.4415,0.3
20900072,2009-11-06 19:00:00,2010,1610612737,1610612766,Atlanta,Hawks,Charlotte,Bobcats,0,0,83,103,-20,10.0,35.0,7.0,11.0,7.0,0.398,0.125,0.0,0.0,0.0,1.0,1,11,early,-1,0.8,0.5,104.9,20.7,39.8,8.3,5.2,14.9,0.48830000000000007,0.39380000000000004,0.0,0.0,0.0,0.5244238722959066,0.5745856489298313,0.15485330651127147,96.34,88.1,16.5,41.0,0.40120000000000006,0.3
